timestep,episode,mean_reward,mean_waiting_time,mean_queue_length,mean_utilization,mean_conflicts
40,1,-88.55484993642938,2.0,1.05,0.14381689373119025,19.0
236,2,-1109.9585465806665,23.11111111111111,2.3469387755102042,0.1693142961235432,141.0
297,3,-160.4349046084403,2.05,0.9836065573770492,0.27991525251878796,34.0
462,4,-891.2951169693991,26.772727272727273,4.13939393939394,0.227397469844802,102.0
596,5,-643.7228899905986,10.333333333333334,1.5895522388059702,0.18917765673295353,89.0
642,6,-132.68074970207422,2.2857142857142856,1.0,0.19742472871997566,27.0
689,7,-135.0304185472895,2.8666666666666667,1.297872340425532,0.16875432701270418,25.0
742,8,-172.3983344834203,4.0,1.3773584905660377,0.17377400860203757,29.0
814,9,-233.31788388056273,2.8095238095238093,1.1666666666666667,0.2551620747677501,41.0
870,10,-156.76214397887006,2.4705882352941178,1.0714285714285714,0.168332956649461,30.0
1117,11,-1378.650466854325,19.954545454545453,1.9676113360323886,0.2644105077752822,180.0
1244,12,-653.3423348792446,17.75,3.2755905511811023,0.20747134813633622,84.0
1355,13,-494.94369288786754,7.0,1.1711711711711712,0.1788039248386214,70.0
1433,14,-192.9851478964252,3.0,1.205128205128205,0.25354742613642234,36.0
1530,15,-394.01739453236416,6.647058823529412,1.3814432989690721,0.23350227820044403,58.0
1584,16,-149.9941734730724,3.4285714285714284,1.2037037037037037,0.17663642309642907,26.0
1686,17,-411.97888429446704,4.666666666666667,0.9901960784313726,0.23729787057084942,63.0
1777,18,-363.7362419208848,4.476190476190476,1.3516483516483517,0.2411568512849467,57.0
1918,19,-749.6072540262214,20.933333333333334,2.4468085106382977,0.13848809884558672,96.0
1989,20,-252.84854582422219,4.411764705882353,1.3661971830985915,0.1776850637052804,43.0
2059,21,-199.66445991863165,3.111111111111111,1.1,0.18762736291376828,36.0
2148,22,-294.3404928640489,5.888888888888889,1.4831460674157304,0.23504250913315736,46.0
2294,23,-652.0040281966251,9.88888888888889,1.3835616438356164,0.17971164138003692,90.0
2466,24,-808.5778304970114,16.066666666666666,1.5406976744186047,0.1620598018914645,105.0
2684,25,-1135.3173425576374,27.863636363636363,3.096330275229358,0.18432335694578722,131.0
2755,26,-124.23095869020138,2.5238095238095237,1.0704225352112675,0.23358294736236043,26.0
2835,27,-205.3183959048222,3.9444444444444446,1.15,0.19621339759275985,34.0
2897,28,-210.35102080771605,4.214285714285714,1.2419354838709677,0.15284861193477345,33.0
2965,29,-181.27309156274336,3.736842105263158,1.3676470588235294,0.2507216973136613,30.0
3063,30,-245.16445681623898,5.0,1.4489795918367347,0.32295229911587964,36.0
3216,31,-537.7399725273361,9.409090909090908,1.5620915032679739,0.28678506010693094,73.0
3310,32,-276.2502737876656,4.333333333333333,1.2553191489361701,0.26917379080001724,44.0
3423,33,-354.36745905924266,10.0,1.5221238938053097,0.17054416938031408,44.0
3552,34,-438.344584278625,11.157894736842104,1.875968992248062,0.21678027972232564,56.0
3658,35,-233.57020598176484,6.7368421052631575,1.4245283018867925,0.21886151384010122,32.0
3730,36,-144.16932844834147,7.0,1.6388888888888888,0.15218396003674042,19.0
3858,37,-282.1202688405715,8.0,1.484375,0.25702185302772046,34.0
4006,38,-485.45688080897946,20.357142857142858,2.0878378378378377,0.17751133113749096,52.0
4435,39,-2011.053832493645,109.63636363636364,5.925407925407925,0.18762062020016346,125.0
4624,40,-458.81669849981205,30.428571428571427,2.4232804232804233,0.14488192453769852,27.0
4831,41,-517.2351852705417,19.6,2.1159420289855073,0.18198563911368293,43.0
5283,42,-2059.683989732413,168.55,7.758849557522124,0.13484487345072324,61.0
5686,43,-1004.9426300783264,67.21052631578948,3.3076923076923075,0.16286301332201916,35.0
6131,44,-1387.8567980571581,103.95,4.851685393258427,0.16415121316568368,36.0
6667,45,-1713.8569598422396,126.72727272727273,5.451492537313433,0.17768495783429739,32.0
7382,46,-2403.659283343845,215.68421052631578,5.861538461538461,0.11362404567885216,25.0
8102,47,-1758.3654956425992,290.8888888888889,10.744444444444444,0.0425055521034503,5.0
8822,48,-1098.2251175176252,139.5,14.534722222222221,0.0753207046647416,29.0
9542,49,-1060.0727118335535,180.8,12.772222222222222,0.055162688566710354,1.0
10262,50,-948.9535868226601,283.5,15.834722222222222,0.015545677681992337,2.0
10982,51,-1012.695652173913,674.0,15.566666666666666,0.00018518518518518518,4.0
11702,52,-1000.5528563488142,353.0,17.141666666666666,0.1485977729056873,1.0
12422,53,-809.7227011494253,229.0,11.327777777777778,0.01241086632609621,0.0
13142,54,-798.9773255813953,187.0,14.854166666666666,0.011190245478036176,1.0
13862,55,-885.9864130434783,389.0,16.904166666666665,0.004164150563607086,2.0
14582,56,-730.0,0.0,12.688888888888888,0.0,1.0
15302,57,-724.0,0.0,14.793055555555556,0.0,0.0
16022,58,-858.0394501278772,348.0,18.2125,0.0036338448422847396,0.0
16742,59,-730.0,0.0,16.580555555555556,0.0,1.0
17462,60,-724.0,0.0,13.904166666666667,0.0,0.0
18182,61,-730.0,0.0,14.466666666666667,0.0,1.0
18902,62,-844.684765625,289.0,14.9375,0.006079644097222223,2.0
19622,63,-724.0,0.0,17.580555555555556,0.0,0.0
20342,64,-724.0,0.0,13.708333333333334,0.0,0.0
21062,65,-724.0,0.0,15.734722222222222,0.0,0.0
21782,66,-762.9704081632653,58.0,10.277777777777779,0.05761054421768707,0.0
22502,67,-760.8840277777778,79.0,11.2625,0.03915573559670782,2.0
